frame,landmark_index,x_px,y_px,z_norm,timestamp
1,33,145,388,0.029214372858405113,1762376054.0369215
1,133,198,391,0.0069146654568612576,1762376054.0369215
1,160,155,383,0.007811688352376223,1762376054.0369215
1,159,165,382,0.0018666688119992614,1762376054.0369215
1,158,176,382,-0.0006236424669623375,1762376054.0369215
1,144,158,395,0.013000370934605598,1762376054.0369215
1,153,179,395,0.0048390650190413,1762376054.0369215
1,154,189,393,0.005369766149669886,1762376054.0369215
1,155,195,392,0.0074592456221580505,1762376054.0369215
1,468,173,388,0.010448518209159374,1762376054.0369215
1,469,187,388,0.010448518209159374,1762376054.0369215
1,470,173,377,0.010448518209159374,1762376054.0369215
1,471,159,388,0.010448518209159374,1762376054.0369215
1,362,259,391,-0.0070624384097754955,1762376054.0369215
1,263,315,388,-0.0023505832068622112,1762376054.0369215
1,387,301,383,-0.019237417727708817,1762376054.0369215
1,386,291,382,-0.02178064174950123,1762376054.0369215
1,385,281,382,-0.02078966051340103,1762376054.0369215
1,373,296,395,-0.013477588072419167,1762376054.0369215
1,380,276,394,-0.015000881627202034,1762376054.0369215
1,381,268,392,-0.011580497957766056,1762376054.0369215
1,382,262,391,-0.007700341288000345,1762376054.0369215
1,473,296,388,-0.01260488759726286,1762376054.0369215
1,474,307,388,-0.01260488759726286,1762376054.0369215
1,475,296,378,-0.01260488759726286,1762376054.0369215
1,476,284,387,-0.01260488759726286,1762376054.0369215
2,33,155,387,0.018307330086827278,1762376054.1160345
2,133,212,392,-0.00145604251883924,1762376054.1160345
2,160,166,382,-0.0032224333845078945,1762376054.1160345
2,159,177,380,-0.00889271404594183,1762376054.1160345
2,158,189,381,-0.010842697694897652,1762376054.1160345
2,144,169,394,0.0027387787122279406,1762376054.1160345
2,153,191,396,-0.004322546534240246,1762376054.1160345
2,154,202,394,-0.0032482389360666275,1762376054.1160345
2,155,209,393,-0.0009531807736493647,1762376054.1160345
2,468,184,388,0.00047717636334709823,1762376054.1160345
2,469,198,388,0.00047717636334709823,1762376054.1160345
2,470,185,378,0.00047717636334709823,1762376054.1160345
2,471,170,387,0.00047717636334709823,1762376054.1160345
2,362,273,392,-0.010662694461643696,1762376054.1160345
2,263,326,390,-0.0023158867843449116,1762376054.1160345
2,387,313,384,-0.02083667181432247,1762376054.1160345
2,386,303,383,-0.024288760498166084,1762376054.1160345
2,385,293,384,-0.02398403361439705,1762376054.1160345
2,373,308,396,-0.014529934152960777,1762376054.1160345
2,380,289,395,-0.017316216602921486,1762376054.1160345
2,381,281,393,-0.014431445859372616,1762376054.1160345
2,382,275,393,-0.01095511857420206,1762376054.1160345
2,473,309,389,-0.014592418447136879,1762376054.1160345
2,474,320,389,-0.014592418447136879,1762376054.1160345
2,475,309,380,-0.014592418447136879,1762376054.1160345
2,476,297,389,-0.014592418447136879,1762376054.1160345
3,33,155,387,0.01795499213039875,1762376054.1284297
3,133,212,392,-0.0010513018351048231,1762376054.1284297
3,160,166,382,-0.0035638888366520405,1762376054.1284297
3,159,177,381,-0.009116103872656822,1762376054.1284297
3,158,189,381,-0.010864853858947754,1762376054.1284297
3,144,169,395,0.00226351385936141,1762376054.1284297
3,153,191,396,-0.004392242059111595,1762376054.1284297
3,154,202,394,-0.0030682762153446674,1762376054.1284297
3,155,209,393,-0.0005612082313746214,1762376054.1284297
3,468,184,388,0.00033888628240674734,1762376054.1284297
3,469,197,388,0.00033888628240674734,1762376054.1284297
3,470,184,377,0.00033888628240674734,1762376054.1284297
3,471,170,387,0.00033888628240674734,1762376054.1284297
3,362,273,392,-0.008414273150265217,1762376054.1284297
3,263,325,389,0.0013260750565677881,1762376054.1284297
3,387,312,384,-0.017721237614750862,1762376054.1284297
3,386,303,383,-0.021453583613038063,1762376054.1284297
3,385,293,383,-0.021397307515144348,1762376054.1284297
3,373,308,396,-0.011650552041828632,1762376054.1284297
3,380,289,395,-0.014839465729892254,1762376054.1284297
3,381,281,393,-0.012062578462064266,1762376054.1284297
3,382,276,392,-0.008604221977293491,1762376054.1284297
3,473,309,389,-0.011777571402490139,1762376054.1284297
3,474,320,389,-0.011777571402490139,1762376054.1284297
3,475,309,380,-0.011777571402490139,1762376054.1284297
3,476,298,389,-0.011777571402490139,1762376054.1284297
4,33,155,387,0.019013943150639534,1762376054.142226
4,133,211,392,-0.0002471510961186141,1762376054.142226
4,160,166,382,-0.0025357413105666637,1762376054.142226
4,159,177,381,-0.008128629997372627,1762376054.142226
4,158,188,381,-0.009952874854207039,1762376054.142226
4,144,169,394,0.003206571564078331,1762376054.142226
4,153,190,396,-0.0035440728534013033,1762376054.142226
4,154,201,394,-0.002253649989143014,1762376054.142226
4,155,208,393,0.0002459404640831053,1762376054.142226
4,468,184,388,0.0012699052458629012,1762376054.142226
4,469,197,388,0.0012699052458629012,1762376054.142226
4,470,184,377,0.0012699052458629012,1762376054.142226
4,471,171,387,0.0012699052458629012,1762376054.142226
4,362,274,392,-0.008115480653941631,1762376054.142226
4,263,326,389,0.0012855238746851683,1762376054.142226
4,387,313,384,-0.017642563208937645,1762376054.142226
4,386,303,383,-0.021289341151714325,1762376054.142226
4,385,294,384,-0.021168818697333336,1762376054.142226
4,373,309,396,-0.011591728776693344,1762376054.142226
4,380,290,395,-0.014643967151641846,1762376054.142226
4,381,281,393,-0.011812957935035229,1762376054.142226
4,382,276,393,-0.008325555361807346,1762376054.142226
4,473,309,389,-0.011640694923698902,1762376054.142226
4,474,320,389,-0.011640694923698902,1762376054.142226
4,475,309,380,-0.011640694923698902,1762376054.142226
4,476,297,389,-0.011640694923698902,1762376054.142226
5,33,162,384,0.01651724986732006,1762376054.1756415
5,133,218,391,-0.0019165293779224157,1762376054.1756415
5,160,174,380,-0.005334113258868456,1762376054.1756415
5,159,184,379,-0.010799483396112919,1762376054.1756415
5,158,195,380,-0.012353132478892803,1762376054.1756415
5,144,176,393,0.0007511827861890197,1762376054.1756415
5,153,197,394,-0.0056341905146837234,1762376054.1756415
5,154,208,393,-0.004126628395169973,1762376054.1756415
5,155,215,392,-0.001502095372416079,1762376054.1756415
5,468,191,386,-0.0010365609778091311,1762376054.1756415
5,469,204,387,-0.0010365609778091311,1762376054.1756415
5,470,192,376,-0.0010365609778091311,1762376054.1756415
5,471,178,385,-0.0010365609778091311,1762376054.1756415
5,362,281,392,-0.007978874258697033,1762376054.1756415
5,263,334,390,0.0029261221643537283,1762376054.1756415
5,387,322,384,-0.016840141266584396,1762376054.1756415
5,386,312,382,-0.02082102932035923,1762376054.1756415
5,385,302,383,-0.020905034616589546,1762376054.1756415
5,373,316,396,-0.010560198687016964,1762376054.1771686
5,380,297,395,-0.014186601154506207,1762376054.1771686
5,381,289,393,-0.011515657417476177,1762376054.1771686
5,382,283,392,-0.008122275583446026,1762376054.1771686
5,473,316,389,-0.010917134582996368,1762376054.1771686
5,474,328,390,-0.010917134582996368,1762376054.1771686
5,475,317,379,-0.010917134582996368,1762376054.1771686
5,476,304,388,-0.010917134582996368,1762376054.1771686
6,33,162,384,0.015591367147862911,1762376054.215967
6,133,218,391,-0.001565389335155487,1762376054.215967
6,160,174,379,-0.005694349762052298,1762376054.215967
6,159,184,378,-0.010886210948228836,1762376054.215967
6,158,196,379,-0.012249537743628025,1762376054.215967
6,144,176,392,0.00034820163273252547,1762376054.215967
6,153,198,394,-0.0056151519529521465,1762376054.215967
6,154,208,392,-0.003951795864850283,1762376054.215967
6,155,215,392,-0.0012326724827289581,1762376054.215967
6,468,191,385,-0.0012303879484534264,1762376054.215967
6,469,204,386,-0.0012303879484534264,1762376054.215967
6,470,192,375,-0.0012303879484534264,1762376054.215967
6,471,178,384,-0.0012303879484534264,1762376054.215967
6,362,280,391,-0.006120402365922928,1762376054.215967
6,263,333,390,0.005484600085765123,1762376054.215967
6,387,321,383,-0.014184581115841866,1762376054.215967
6,386,311,382,-0.01826009526848793,1762376054.215967
6,385,301,382,-0.018542611971497536,1762376054.215967
6,373,316,396,-0.00806121900677681,1762376054.215967
6,380,297,395,-0.011956059373915195,1762376054.215967
6,381,288,393,-0.009489151649177074,1762376054.215967
6,382,283,392,-0.006206815131008625,1762376054.215967
6,473,317,389,-0.008565624244511127,1762376054.215967
6,474,328,390,-0.008565624244511127,1762376054.215967
6,475,317,379,-0.008565624244511127,1762376054.215967
6,476,305,388,-0.008565624244511127,1762376054.215967
7,33,162,384,0.015452959574759007,1762376054.2355237
7,133,218,391,-0.0018711327575147152,1762376054.2355237
7,160,174,379,-0.005843484774231911,1762376054.2355237
7,159,184,378,-0.011068599298596382,1762376054.2355237
7,158,195,379,-0.012470098212361336,1762376054.2355237
7,144,176,392,0.0002312364667886868,1762376054.2355237
7,153,197,394,-0.005800680257380009,1762376054.2355237
7,154,208,392,-0.004189610481262207,1762376054.2355237
7,155,215,391,-0.001519134733825922,1762376054.2355237
7,468,191,385,-0.0014196260599419475,1762376054.2355237
7,469,204,386,-0.0014196260599419475,1762376054.2355237
